id,text,score,author,movie,split
132,No la recomiendo en absoluto. Los diálogos dan vergüenza ajena. Le pongo la peor nota posible.,1.9,Diego,Roma,train
204,Floja en casi todo. El ritmo es irregular. Le falta alma.,2.3,Lucía,1917,train
51,Insoportable de principio a fin. El montaje es caótico. Salí del cine antes de que terminara.,1.2,Carlos,The Dark Knight,train
586,"Tiene luces y sombras. Buenos efectos aunque la historia es cliché. Cumple, aunque no sorprende.",3.6,María,Mad Max: Fury Road,test
139,No la recomiendo en absoluto. Los diálogos dan vergüenza ajena. Una completa decepción.,1.5,Ana,Spider‑Verse,train
633,Buen entretenimiento. La música te envuelve. Vale la entrada.,4.4,Diego,Soul,train
329,Se queda a medias. La trama se desinfla a mitad. Solo la salva la banda sonora.,2.6,María,Spider‑Verse,train
462,Correcta pero olvidable. El ritmo mantiene la atención. Seguramente la olvidaré pronto.,3.7,Carlos,Parasite,train
925,Excepcional. Fotografía y música sobresalientes. Se queda grabada en la memoria.,4.6,Ana,Parasite,train
480,Entretenida sin más. Nada sorprende pero nada ofende. Ideal para una tarde lluviosa.,3.7,Diego,The Dark Knight,train
196,Pésima película. Las actuaciones son de cartón. Le pongo la peor nota posible.,1.7,Lucía,Arrival,test
222,Se queda a medias. Los personajes están poco desarrollados. Le falta alma.,2.6,Ana,Soul,train
210,Floja en casi todo. El final es predecible. Algo rescata la fotografía.,2.6,Ana,Spider‑Verse,train
379,"Esperaba más. Los efectos especiales apenas salvan algunos momentos. No la odié, pero tampoco la disfrutaría de nuevo.",2.7,María,Roma,valid
157,Dos horas perdidas. El sonido es confuso. Desperdicio absoluto de tiempo.,1.0,FHG,Dune,train
328,"Quedó debiendo muchísimo. El ritmo es irregular. No la odié, pero tampoco la disfrutaría de nuevo.",2.8,María,Coco,train
762,Buen entretenimiento. El humor está bien medido. Seguro la veré otra vez.,4.1,Carlos,Joker,valid
321,Quedó debiendo muchísimo. La trama se desinfla a mitad. Le falta alma.,2.2,María,Roma,train
275,No cumple lo prometido. Los efectos especiales apenas salvan algunos momentos. Una pena.,2.9,María,Spider‑Verse,train
418,Está bien para pasar el rato. Algunos chistes caen planos. Salí neutral.,3.1,Lucía,Parasite,train
373,Se queda a medias. Los efectos especiales apenas salvan algunos momentos. Algo rescata la fotografía.,2.2,María,Spider‑Verse,valid
300,"Quedó debiendo muchísimo. Los personajes están poco desarrollados. Si no hay nada más, tal vez la pongas de fondo.",2.0,Ana,Soul,train
230,Se queda a medias. El final es predecible. Algo rescata la fotografía.,2.4,Carlos,Spider‑Verse,train
897,Excepcional. Cada plano es arte puro. Salí conmovido.,4.7,Diego,Parasite,train
595,Regular en casi todo. Buenos efectos aunque la historia es cliché. Le doy un aprobado raspado.,3.7,Carlos,Whiplash,test
984,Excepcional. Te atrapa desde el primer minuto. Inolvidable.,4.6,Diego,Roma,test
